field_type,Categorical,Location,Numeric,Numeric,Numeric,Numeric,Numeric
description,Area of sampling,Point in the SAFE landscape,Top canopy height,Top canopy height standard deviation,Gap fraction,Aboveground biomass,LiDAR ground coverage
levels,SAFE; Maliau,,,,,,
units,,,metres,metres,metres,grams2,ratio
method,,,LiDAR,LiDAR,LiDAR,LiDAR,LiDAR
field_name,Location,ID,tch,tch_sd,gf,agb,coverage
1,SAFE,A_1,11.20225228,6.743838858,0.426755736,28.89773752,0.999874903
2,SAFE,A_2,16.84603035,7.060302301,0.121118867,56.72441689,0.999949961
3,SAFE,A_3,12.96261025,5.90099001,0.270644726,36.78285241,0.999949982
4,SAFE,A_4,10.79058103,6.534118676,0.410943481,27.16342458,0.999449573
5,SAFE,A_5,10.36519879,6.161113649,0.466851796,25.41619393,0.999349545
6,SAFE,A_6,13.17492503,5.835956068,0.281384415,37.78407157,0.999574872
7,SAFE,A_7,10.75891312,6.452868998,0.44121106,27.03177289,0.99959965
8,SAFE,A_8,11.51815677,8.343309328,0.402967151,30.25719628,0.998298767
9,SAFE,A_9,14.24891256,7.830888821,0.240492394,43.00982486,0.99977482
10,SAFE,A_10,13.07903054,6.668298863,0.250963319,37.33054378,0.999899915
11,SAFE,A_11,17.22647162,5.944226384,0.068356394,58.85759174,0.999974979
12,SAFE,A_12,14.29660587,5.323838497,0.159173359,43.24805761,0.999724787
13,SAFE,A_13,10.26128825,10.51438265,0.569437842,24.99638587,0.998799129
14,SAFE,A_14,7.867197532,6.558092525,0.618224568,16.11187947,0.99872433
15,SAFE,A_15,7.135523197,7.937120021,0.676916533,13.71092508,0.997973379
16,SAFE,A_16,6.174436639,6.8631309,0.737958285,10.79465172,0.996848897
17,SAFE,A_17,3.593355878,6.06636529,0.881977632,4.411469106,0.995246078
18,SAFE,A_18,5.618958748,8.257243476,0.782995972,9.236993218,0.995896615
19,SAFE,A_19,19.68565825,12.66271661,0.248974077,73.38414472,0.999849865
20,SAFE,A_20,23.39566497,12.15648967,0.131670461,97.62394168,0.999799855
21,SAFE,A_21,22.83621885,12.92298553,0.206834442,93.7952593,0.999949967
22,SAFE,A_22,7.504910825,8.233468458,0.69052442,14.90393561,0.997474179
23,SAFE,A_23,11.79979146,12.20536666,0.567314669,31.48990271,0.998248643
24,SAFE,A_24,11.62190468,9.884384291,0.485751457,30.70903456,0.998048488
25,SAFE,A_25,10.80449919,7.292894168,0.457177171,27.2213659,0.999449546
26,SAFE,A_26,11.52526378,7.982156811,0.470716215,30.28806395,0.999674902
27,SAFE,A_27,11.80605197,7.016084608,0.410625844,31.51752542,0.999849917
28,SAFE,A_28,15.09384118,10.27378552,0.307805817,47.30679966,0.999899957
29,SAFE,A_29,8.74635572,7.462685051,0.572364965,19.19542989,0.998573966
30,SAFE,A_30,13.00378371,11.61033107,0.432067257,36.97618462,0.998798979
31,SAFE,A_31,19.82822871,7.274601372,0.098521798,74.26476906,1
32,SAFE,A_32,18.62175036,7.028446841,0.109570875,66.94455477,1
33,SAFE,A_33,16.79633844,6.263583361,0.142381786,56.44808987,0.999949962
34,SAFE,A_34,15.86106424,6.631752282,0.20191129,51.34731933,0.999874916
